stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,tpis_name
1,1,Paramount / Slauson,,33.973248,-118.11311,,,,
3,3,Jefferson / 10th,,34.025471,-118.3284,,,,
6,6,120th / Augustus F Hawkins,,33.924698,-118.24223,,,,
7,7,120th / Martin Luther King Hospital,,33.924503,-118.24037,,,,
12,12,15054 Sherman Way,,34.201077,-118.46195,,,,
16,16,Riverside / Los Feliz,,34.116932,-118.27148,,,,
18,18,1st / Eastern,,34.03688,-118.17323,,,,
19,19,Indiana / Olympic,,34.018997,-118.19236,,,,
25,25,226th / Norwalk,,33.823986,-118.07226,,,,
29,29,2nd / Santa Monica,,34.01503,-118.49734,,,,
31,31,3rd / Gardner,,34.07024,-118.35326,,,,
33,33,Balboa / Foothill West Jog,,34.322083,-118.49524,,,,
38,38,5th / Colorado,,34.013885,-118.4902,,,,
40,40,Hill / 5th,,34.048592,-118.25176,,,,
42,42,6th / Burlington,,34.057873,-118.27077,,,,
47,47,7th / Maclay,,34.29398,-118.42721,,,,
49,49,7th / Patton,,33.737858,-118.30573,,,,
51,51,St Bernard High School,,33.953201,-118.43332,,,,
55,55,Adams / Fairfax,,34.03236,-118.37049,,,,
56,56,Adams / Vermont,,34.032673,-118.29121,,,,
57,57,California Yacht Club,,33.983635,-118.44589,,,,
59,59,Admiralty / Marina City,,33.985214,-118.45271,,,,
60,60,Admiralty / Bali,,33.981823,-118.44162,,,,
62,62,Admiralty / Palawan,,33.983292,-118.45741,,,,
63,63,Agoura / La Venta,,34.148949,-118.82209,,,,
65,65,Agoura / Lost Hills,,34.139408,-118.70861,,,,
67,67,Airport / Arbor Vitae,,33.952293,-118.38602,,,,
68,68,Fletcher / Estara,,34.118153,-118.24092,,,,
69,69,Lankershim / San Fernando,,34.233181,-118.38794,,,,
70,70,El Monte Busway Layover,,34.054489,-118.23736,,,,
77,77,Alamo / 60th,,33.983124,-118.17456,,,,
78,78,Alamo / Gage,,33.977058,-118.17551,,,,
79,79,Alamo / Randolph,,33.980042,-118.17502,,,,
85,85,Allen / Colorado,,34.146271,-118.11301,,,,
86,86,Allen / Washington,,34.169415,-118.11287,,,,
87,87,Allesandro / Baxter,,34.092442,-118.25652,,,,
88,88,Allesandro / Ewing,,34.090866,-118.25836,,,,
89,89,Allesandro / Oak Glen,,34.093765,-118.25518,,,,
90,90,Allesandro / Sunflower,,34.098923,-118.25061,,,,
91,91,Allesandro / Whitmore,,34.095806,-118.25356,,,,
92,92,Alondra / Clark,,33.889439,-118.13377,,,,
93,93,Alondra / Stevens,,33.889198,-118.13033,,,,
99,99,Olive / Olympic,,34.042133,-118.25955,,,,
101,101,Arbor Vitae / Aviation,,33.952557,-118.37653,,,,
102,102,Arbor Vitae / Bellanca,,33.952557,-118.38003,,,,
104,104,Arleta / Branford,,34.236153,-118.41995,,,,
108,108,Arleta / Kagel Canyon,,34.245094,-118.42942,,,,
109,109,Arleta / Montague,,34.238827,-118.42279,,,,
110,110,Arleta / Osborne,,34.24181,-118.42594,,,,
111,111,Arleta / Pierce,,34.250736,-118.43539,,,,
112,112,Arleta / Terra Bella,,34.247768,-118.43225,,,,
115,115,Sherman Way / Oakdale,,34.200886,-118.5668,,,,
117,117,Arlington / Martin Luther King Jr,,34.011005,-118.31835,,,,
118,118,5112 Arlington,,33.996479,-118.31803,,,,
126,126,Arlington / 39th,,34.014465,-118.31812,,,,
127,127,Arlington / 42nd,,34.007397,-118.31834,,,,
128,128,Arlington / 48th,,33.999897,-118.31802,,,,
136,136,Temple / Hill,,34.05645,-118.24422,,,,
138,138,Woodward / Garfield,,34.097672,-118.12829,,,,
139,139,Van Nuys / Arleta,,34.254078,-118.43834,,,,
141,141,Artesia / Amie,,33.872707,-118.34804,,,,
144,144,Pacific Coast Highway / Artesia,,33.87252,-118.39548,,,,
146,146,Nash / Mariposa Station,,33.923222,-118.38754,,,,
147,147,Artesia / Hawthorne,,33.872704,-118.35203,,,,
148,148,Artesia / Prairie,,33.872711,-118.34405,,,,
149,149,Artesia / Susana,,33.874146,-118.20679,,,,
150,150,Artesia / Yukon,,33.872719,-118.3353,,,,
152,152,Chatsworth Station,,34.253716,-118.59881,,,,
157,157,Atlantic / 68th,,33.878059,-118.18586,,,,
158,158,Atlantic / Bell,,33.974667,-118.18729,,,,
159,159,Lankershim / Chandler,,34.16861,-118.37701,,,,
160,160,Woodman / Moorpark,,34.150639,-118.43108,,,,
161,161,Atlantic / Martin Luther King Jr,,33.921383,-118.1872,,,,
162,162,Atlantic / Patata,,33.955837,-118.18388,,,,
163,163,Atlantic / Abbott,,33.933708,-118.18258,,,,
164,164,Atlantic / Agnes,,33.914192,-118.19017,,,,
165,165,Atlantic / Arlington,,33.906704,-118.19328,,,,
166,166,Atlantic / Beechwood,,33.925697,-118.18573,,,,
167,167,Atlantic / Carlin,,33.910168,-118.19183,,,,
168,168,Atlantic / Cecelia,,33.95826,-118.18468,,,,
169,169,Atlantic / Clara,,33.965881,-118.18684,,,,
170,170,Atlantic / Cortland,,33.919018,-118.18816,,,,
172,172,Atlantic / Artesia,,33.874657,-118.18596,,,,
173,173,Atlantic / Elizabeth,,33.963501,-118.18624,,,,
176,176,Rayo / Southern,,33.946568,-118.17977,,,,
177,177,Atlantic / Firestone,,33.951504,-118.18281,,,,
178,178,Atlantic / Florence,,33.970062,-118.18785,,,,
179,179,Atlantic / Gage,,33.978271,-118.18675,,,,
180,180,Atlantic / Imperial,,33.930958,-118.18326,,,,
182,182,Atlantic / Michigan,,33.939083,-118.18196,,,,
183,183,Atlantic / Randolph,,33.981186,-118.18631,,,,
184,184,Atlantic / Santa Ana,,33.961163,-118.18565,,,,
185,185,Atlantic / Southern,,33.946507,-118.18094,,,,
186,186,Atlantic / Southern Pl,,33.948814,-118.1818,,,,
187,187,Atlantic / Tenaya,,33.936417,-118.18226,,,,
188,188,Atlantic / Tweedy,,33.941402,-118.18135,,,,
189,189,Atlantic / Tweedy,,33.941032,-118.18172,,,,
190,190,Atlantic / 52nd,,33.992439,-118.18367,,,,
191,191,Atlantic / 55th,,33.990829,-118.18484,,,,
192,192,Atlantic / 6th,,34.025124,-118.15568,,,,
193,193,Atlantic / Bandini,,33.998245,-118.1748,,,,
194,194,Atlantic / Slauson,,33.987408,-118.18537,,,,
196,196,Van Nuys / Laurel Canyon,,34.259151,-118.4314,,,,
198,198,Van Nuys / Burbank,,34.171856,-118.44891,,,,
199,199,Van Nuys / Victory,,34.186398,-118.44881,,,,
200,200,Van Nuys / Vanowen,,34.193657,-118.44882,,,,
201,201,Avalon / 169th,,33.878979,-118.26478,,,,
202,202,Del Amo / Tajauta,,33.846676,-118.24337,,,,
203,203,Avalon / 228th,,33.819107,-118.26354,,,,
204,204,Avalon / Albertoni,,33.871716,-118.26597,,,,
205,205,Avalon / Bayport,,33.815006,-118.26371,,,,
206,206,Avalon / Carson Mall,,33.843494,-118.26302,,,,
207,207,Van Nuys / Keswick,,34.209984,-118.44891,,,,
208,208,Olympic / Mirasol,,34.018688,-118.19966,,,,
209,209,7th / Butte,,33.738003,-118.3063,,,,
210,210,Van Nuys / Woodman,,34.246983,-118.44852,,,,
212,212,Avalon / Idabell,,33.810787,-118.26386,,,,
213,213,Avalon / Martin Luther King Jr,,34.010872,-118.2654,,,,
214,214,Van Nuys / Laurel Canyon,,34.258694,-118.43248,,,,
215,215,Avalon / Vernon,,34.004086,-118.26537,,,,
218,218,Hollywood Way / Oak,,34.157505,-118.34177,,,,
220,220,Hollywood Way / Burbank,,34.174858,-118.34916,,,,
221,221,Sherman Way / Laurel Canyon,,34.20076,-118.39678,,,,
222,222,Compton / Avalon,,33.895325,-118.26504,,,,
224,224,Avalon / 189th,,33.859184,-118.26596,,,,
225,225,Del Amo / Tillman,,33.846657,-118.25313,,,,
226,226,Del Amo / Tillman,,33.846867,-118.25381,,,,
228,228,Avalon / 103rd,,33.943489,-118.26531,,,,
229,229,Avalon / 104th,,33.941704,-118.26531,,,,
231,231,Avalon / 108th,,33.938034,-118.26531,,,,
232,232,Avalon / 110th,,33.935486,-118.26531,,,,
234,234,Sherman Way / Albertsons,,34.201332,-118.45319,,,,
236,236,Avalon / 120th,,33.923859,-118.26535,,,,
237,237,Avalon / 126th,,33.918652,-118.26539,,,,
238,238,Avalon / 130th,,33.914745,-118.2654,,,,
239,239,Avalon / 132nd,,33.91293,-118.26541,,,,
240,240,Avalon / 135th,,33.909306,-118.26541,,,,
241,241,Avalon / 138th,,33.906563,-118.26543,,,,
243,243,Del Amo / Central,,33.846668,-118.24819,,,,
244,244,Del Amo / Central,,33.84692,-118.24886,,,,
245,245,Avalon / 213th,,33.835648,-118.26353,,,,
246,246,Avalon / 220th,,33.827721,-118.26351,,,,
247,247,Avalon / 223rd,,33.82449,-118.26352,,,,
248,248,Avalon / 41st,,34.009335,-118.2654,,,,
249,249,Avalon / 42nd,,34.006744,-118.26539,,,,
250,250,Avalon / 48th,,33.999924,-118.26536,,,,
251,251,Avalon / 51st,,33.996723,-118.26535,,,,
252,252,Avalon / 54th,,33.993526,-118.26534,,,,
253,253,Avalon / 56th,,33.991718,-118.26534,,,,
254,254,Avalon / 59th,,33.986256,-118.26536,,,,
255,255,Avalon / 61st,,33.984062,-118.26534,,,,
256,256,Avalon / 67th,,33.97897,-118.26532,,,,
258,258,Avalon / 76th,,33.971184,-118.2653,,,,
259,259,Avalon / 79th,,33.967587,-118.26529,,,,
260,260,Avalon / 83rd,,33.963902,-118.26528,,,,
261,261,Avalon / 87th,,33.958195,-118.26527,,,,
262,262,Avalon / 88th,,33.956287,-118.26527,,,,
264,264,Avalon / 92nd,,33.953045,-118.26529,,,,
265,265,Avalon / 94th,,33.950924,-118.2653,,,,
267,267,Hill / 3rd,,34.051819,-118.24911,,,,
268,268,Avalon / Alondra,,33.885822,-118.26514,,,,
269,269,Avalon / San Pedro,,33.888027,-118.26517,,,,
270,270,Avalon / Carson,,33.831944,-118.26353,,,,
271,271,7th / Grand,,33.737793,-118.29029,,,,
272,272,Avalon / Century,,33.945778,-118.26531,,,,
273,273,Avalon / Colden,,33.949383,-118.2653,,,,
274,274,Avalon / Compton,,33.895023,-118.26513,,,,
