PROJECT_NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,SITE_TYPE,SITE_TYPE_DETAILED,ACRES,APN,NATIONAL_PRIORITIES_LIST,REGULATORY_AGENCIES_INVOLVED,LEAD_AGENCY,PROJECT_MANAGER,SUPERVISOR,DIVISION_BRANCH,ENVIROSTOR_ID,SITE_CODE,ASSEMBLY,SENATE,CONGRESSIONAL_DISTRICT,SPECIAL_PROGRAM,STATUS,STATUS_DATE,PAST_USES,POTENTIAL_COC,CONFIRMED_COC,POTENTIAL_MEDIA_AFFECTED,RESTRICTED_USE,SITE_MGMT_REQ,FUNDING,LATITUDE,LONGITUDE
Southern California Edison - Mandalay Generating Station,373 North Harbor Blvd,Oxnard,CA,93030,LOS ANGELES,Corrective Action,Corrective Action,70,NONE SPECIFIED,NO,SMBRP,SMBRP,Steven Rounds,Andres Cano,Cleanup Chatsworth,60001191,400439,38,21,26,,Active,2/1/1995 0:00,ABOVE GROUND STORAGE TANKS,"30018, 30587","30587-NO,30018-NO","OTH, SOIL",NO,NONE SPECIFIED,Responsible Party,34.20676,-119.25
Springville Property,Ponderosa Drive and US. Highway 101,Camarillo,CA,93010,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,49,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Cleanup Chatsworth,60002114,301692,38,21,26,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,2/26/2015 0:00,AGRICULTURAL - ROW CROPS,30023,30023,SOIL,NO,NONE SPECIFIED,Responsible Party,34.222051,-119.075763
GORMAN ELEMENTARY EXPANSION,49847 Gorman School Road,Gorman,CA,93243,LOS ANGELES,School Investigation,School,2.1,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19010033,304371,34,23,27,,Inactive - Needs Evaluation,11/4/2002 0:00,AGRICULTURAL - ROW CROPS,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.7930337,-118.8539869
SANTA MONICA MOUNTAINS,,Santa Monica,CA,,LOS ANGELES,Military Evaluation,FUDS,145,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000777,,42,24,32,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.05555556,-118.85
MALIBU HIGH SCHOOL PROJECT,30215 Morning View Drive,Malibu,CA,90265,LOS ANGELES,School Cleanup,School,80,NONE SPECIFIED,NO,SMBRP,SMBRP,Johnson Abraham,Shahir Haddad,Southern California Schools & Brownfields Outreach,19820092,304164,42,24,32,Voluntary Agreement - Standard Voluntary Agreement,Certified O&M - Land Use Restrictions Only,5/9/2016 0:00,* EDUCATIONAL SERVICES,"30003, 30004, 30007, 30008, 30013, 30018, 30470,31000","30003,30004,30007,30008,30013,30470,30018-NO","NMA, SOIL, SV",YES,NONE SPECIFIED,School District,34.023397,-118.824977
Eaton Corporation,31717 LA TIENDA RD,WESTLAKE VILLAGE,CA,913624010,LOS ANGELES,Corrective Action,Corrective Action,35,NONE SPECIFIED,NO,SMBRP,WM,Viktoriya Anashkina,Jose Diaz,Cleanup Chatsworth,80001654,530017,42,24,26,,Certified / Operation & Maintenance,4/29/2021 0:00,"HAZARDOUS WASTE STORAGE - TANKS/CONTAINERS, HAZARDOUS WASTE TREATMENT","30003, 30022, 30026, 30027, 30032, 30094, 30096, 30136, 30137, 30384, 30564","3,000,330,564,300,220,000,000,000,000,000,000,000,000,000,000,000,000,000","IA, SV, UE",YES,NONE SPECIFIED,,34.152059,-118.810522
PRACTICAL PERIPHERALS,31245 LA BAYA DRIVE,WESTLAKE VILLAGE,CA,91360,LOS ANGELES,Historical,* Historical,0.1,2054028043,NO,HWMP,HWMP,,* Mmonroy,Cleanup Chatsworth,19360524,300268,42,24,26,,No Further Action,11/22/1991 0:00,"MANUFACTURING - ELECTRONIC, METAL PLATING - CHROME","30001, 30005, 30013, 30022, 30026, 30027, 30028","30001-NO,30005-NO,30013-NO,30022-NO,30026-NO,30028-NO,30027-NO","SOIL, SV",NO,NONE SPECIFIED,,34.15664168,-118.8039854
REYES ADOBE SCHOOL,Lindero Canyon Road/Blackbird,Agoura Hills,CA,91301,LOS ANGELES,School Cleanup,School,19,"2056-001-005, 2056-002-001, 680-0-052-245, 685-0-102-565",NO,SMBRP,SMBRP,Stephanie Lewis,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19650027,304376,42,24,26,,Certified,10/31/2005 0:00,* UNKNOWN,", 30007, 30008",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,School District,34.1676,-118.7887
Liberty Canyon,Liberty Canyon Housing Project - Tentative Tract No. 52909,Calabasas,CA,91360,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,161.2,NONE SPECIFIED,NO,SMBRP,SMBRP,Jessy Fierro,Juli Propes,Cleanup Chatsworth,60000603,301332,42,24,26,Voluntary Agreement - Standard Voluntary Agreement,Inactive - Needs Evaluation,4/29/2008 0:00,NONE,31001,31001,OTH,NO,NONE SPECIFIED,Responsible Party,34.14374855,-118.718835
CALABASAS SANITARY LANDFILL,5300 LOST HILLS ROAD,AGOURA,CA,91301,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,DTSC,DTSC,,* Mmonroy,Cleanup Chatsworth,19490020,,42,24,26,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: RWQCB,6/8/1995 0:00,NONE SPECIFIED,"10008, 10061, 10064, 10077, 40001, 10179, 10193, 10195, 10198, 10199, 20015, 30001, 30013, 30153",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.14138889,-118.7111111
