activity_year,census_tract,manufactured_home_secured_proper,manufactured_home_land_property_,race,age,white_pop,census_income,loan_outcome,FIPS
2018,6037104108,2,3,3,3,4.3300018,57.518997,3,06037104108
2018,6037104108,2,3,3,3,4.3300018,57.518997,3,06037104108
2018,6037104108,2,3,3,3,4.3300018,57.518997,2,06037104108
2018,6037104204,2,3,3,2,11.57,50.589001,3,06037104204
2018,6037104204,2,3,3,4,11.57,50.589001,3,06037104204
2018,6037104204,2,3,3,3,11.57,50.589001,2,06037104204
2018,6037104204,2,3,3,5,11.57,50.589001,3,06037104204
2018,6037104320,2,3,3,2,2.8899994,49.202999,3,06037104320
2018,6037104320,2,3,3,2,2.8899994,49.202999,3,06037104320
2018,6037104610,2,3,3,3,1.2099991,56.132999,3,06037104610
2018,6037104703,2,3,3,5,2.4700012,42.966,3,06037104703
2018,6037104703,2,3,3,5,2.4700012,42.966,3,06037104703
2018,6037104704,2,3,3,4,4.9300003,47.124001,3,06037104704
2018,6037104704,2,3,1,3,4.9300003,47.124001,2,06037104704
2018,6037104704,2,3,3,4,4.9300003,47.124001,3,06037104704
2018,6037104704,2,3,3,3,4.9300003,47.124001,2,06037104704
2018,6037104704,2,3,3,2,4.9300003,47.124001,3,06037104704
2018,6037106111,2,3,3,3,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,3,3,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,3,3,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,2,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,3,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,3,21.989998,75.537003,3,06037106111
2018,6037106111,1,2,3,3,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,1,6,21.989998,75.537003,2,06037106111
2018,6037106111,2,4,4,4,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,1,6,21.989998,75.537003,3,06037106111
2018,6037106111,1,1,3,3,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,1,5,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,1,4,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,3,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,3,3,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,3,4,21.989998,75.537003,1,06037106111
2018,6037106111,1,1,1,5,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,4,4,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,3,4,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,1,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,3,2,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,4,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,3,1,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,2,21.989998,75.537003,2,06037106111
2018,6037106111,2,3,1,4,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,2,21.989998,75.537003,3,06037106111
2018,6037106111,2,3,3,3,21.989998,75.537003,2,06037106111
